var0,var5,var3,var1,var4,var2
http://sws.ifi.uio.no/data/npd-v2/field/3960848/reserve,77.730000,10.700000,0.000000,16.500000,40.900000
http://sws.ifi.uio.no/data/npd-v2/field/4005142/reserve,1.780000,0.200000,0.000000,0.400000,1.000000
http://sws.ifi.uio.no/data/npd-v2/field/43437/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43444/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43451/reserve,4.400000,1.000000,0.000000,1.400000,1.100000
http://sws.ifi.uio.no/data/npd-v2/field/43457/reserve,27.150000,1.500000,4.500000,0.000000,19.800000
http://sws.ifi.uio.no/data/npd-v2/field/43464/reserve,2.270000,0.300000,0.400000,0.000000,1.300000
http://sws.ifi.uio.no/data/npd-v2/field/43478/reserve,2.460000,0.400000,0.200000,0.000000,1.500000
http://sws.ifi.uio.no/data/npd-v2/field/43485/reserve,1.290000,0.100000,0.000000,0.900000,0.200000
http://sws.ifi.uio.no/data/npd-v2/field/43492/reserve,1.590000,0.100000,0.000000,0.900000,0.500000
http://sws.ifi.uio.no/data/npd-v2/field/43506/reserve,156.780000,2.200000,0.000000,129.800000,22.800000
http://sws.ifi.uio.no/data/npd-v2/field/43513/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43520/reserve,0.500000,0.000000,0.000000,0.400000,0.100000
http://sws.ifi.uio.no/data/npd-v2/field/43527/reserve,43.080000,0.200000,0.000000,37.300000,5.400000
http://sws.ifi.uio.no/data/npd-v2/field/43534/reserve,5.670000,0.300000,0.000000,1.500000,3.600000
http://sws.ifi.uio.no/data/npd-v2/field/43541/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43548/reserve,52.580000,2.200000,0.000000,41.500000,6.900000
http://sws.ifi.uio.no/data/npd-v2/field/43555/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43562/reserve,16.800000,0.000000,0.000000,16.200000,0.600000
http://sws.ifi.uio.no/data/npd-v2/field/43568/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43576/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43583/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43590/reserve,3.300000,0.000000,0.000000,1.600000,1.700000
http://sws.ifi.uio.no/data/npd-v2/field/43597/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43604/reserve,0.900000,0.000000,0.000000,0.700000,0.200000
http://sws.ifi.uio.no/data/npd-v2/field/43610/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43618/reserve,6.430000,0.700000,0.000000,1.800000,3.300000
http://sws.ifi.uio.no/data/npd-v2/field/43625/reserve,99.120000,3.800000,0.000000,22.700000,69.200000
http://sws.ifi.uio.no/data/npd-v2/field/43639/reserve,8.570000,0.300000,0.000000,7.900000,0.100000
http://sws.ifi.uio.no/data/npd-v2/field/43645/reserve,28.240000,1.600000,0.000000,17.200000,8.000000
http://sws.ifi.uio.no/data/npd-v2/field/43651/reserve,5.770000,0.300000,0.000000,4.000000,1.200000
http://sws.ifi.uio.no/data/npd-v2/field/43658/reserve,27.890000,6.100000,0.600000,4.300000,11.400000
http://sws.ifi.uio.no/data/npd-v2/field/43672/reserve,2.320000,0.800000,0.000000,0.700000,0.100000
http://sws.ifi.uio.no/data/npd-v2/field/43679/reserve,3.570000,0.300000,0.000000,3.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43686/reserve,11.600000,0.000000,0.000000,11.600000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43699/reserve,58.200000,5.000000,0.000000,16.600000,32.100000
http://sws.ifi.uio.no/data/npd-v2/field/43718/reserve,64.590000,0.100000,0.000000,64.100000,0.300000
http://sws.ifi.uio.no/data/npd-v2/field/43725/reserve,6.780000,0.200000,0.000000,6.000000,0.400000
http://sws.ifi.uio.no/data/npd-v2/field/43732/reserve,15.770000,0.300000,0.000000,15.000000,0.200000
http://sws.ifi.uio.no/data/npd-v2/field/43745/reserve,67.200000,6.000000,0.000000,11.500000,44.300000
http://sws.ifi.uio.no/data/npd-v2/field/43751/reserve,16.390000,2.100000,0.000000,3.000000,9.400000
http://sws.ifi.uio.no/data/npd-v2/field/43758/reserve,15.760000,0.400000,0.000000,14.900000,0.100000
http://sws.ifi.uio.no/data/npd-v2/field/43765/reserve,134.620000,16.800000,0.000000,18.600000,84.100000
http://sws.ifi.uio.no/data/npd-v2/field/43771/reserve,74.630000,1.700000,0.000000,40.100000,31.300000
http://sws.ifi.uio.no/data/npd-v2/field/43778/reserve,10.720000,0.800000,0.000000,3.800000,5.400000
http://sws.ifi.uio.no/data/npd-v2/field/43785/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43792/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43800/reserve,18.360000,1.400000,0.000000,15.700000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/4380167/reserve,4.500000,0.000000,0.000000,4.000000,0.500000
http://sws.ifi.uio.no/data/npd-v2/field/43807/reserve,14.100000,0.000000,0.000000,14.100000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/4444332/reserve,4.640000,0.600000,0.000000,0.800000,2.700000
http://sws.ifi.uio.no/data/npd-v2/field/4467554/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/4467574/reserve,48.640000,7.600000,0.000000,6.400000,27.800000
http://sws.ifi.uio.no/data/npd-v2/field/4467595/reserve,21.100000,2.000000,0.000000,5.100000,12.200000
http://sws.ifi.uio.no/data/npd-v2/field/46437/reserve,1058.190000,21.100000,2.800000,36.000000,984.900000
http://sws.ifi.uio.no/data/npd-v2/field/4704482/reserve,69.540000,5.600000,0.000000,15.500000,43.400000
http://sws.ifi.uio.no/data/npd-v2/field/4966234/reserve,12.190000,1.100000,0.000000,5.600000,4.500000
http://sws.ifi.uio.no/data/npd-v2/field/4973114/reserve,1.380000,0.200000,0.000000,0.000000,1.000000
http://sws.ifi.uio.no/data/npd-v2/field/4999528/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/5506919/reserve,8.400000,0.000000,0.000000,4.500000,3.900000
http://sws.ifi.uio.no/data/npd-v2/field/5774394/reserve,38.070000,0.300000,0.000000,30.200000,7.300000
http://sws.ifi.uio.no/data/npd-v2/field/853376/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/97002/reserve,0.700000,0.000000,0.000000,0.000000,0.700000
